state,state_abbr,sector_abbr,year,observed_capacity_kw,observed_count
Pennsylvania,PA,res,2016,82436.30399999999,11395.99999999999
Pennsylvania,PA,res,2018,171750.31209231899,21693.999999999996
Rhode Island,RI,com,2014,255.843,6.0
Rhode Island,RI,com,2016,3113.456202933015,23.000000000000032
Rhode Island,RI,com,2018,67980.9073523583,135.99999999999994
Rhode Island,RI,res,2014,119.51799999999999,30.0
Rhode Island,RI,res,2016,7177.491082045183,869.0
Rhode Island,RI,res,2018,26741.28763376934,3739.0000000000045
South Carolina,SC,com,2014,365.7471264367818,20.999999999999993
South Carolina,SC,com,2016,9995.747126436783,105.99999999999994
South Carolina,SC,com,2018,59925.52776533811,314.0000000000002
South Carolina,SC,res,2014,1110.12068965517,220.99999999999994
South Carolina,SC,res,2016,40050.12068965519,4649.999999999999
South Carolina,SC,res,2018,151584.66226302387,16672.999999999985
South Dakota,SD,com,2014,0.0,0.0
South Dakota,SD,com,2016,0.0,0.0
South Dakota,SD,com,2018,0.0,0.0
South Dakota,SD,res,2014,0.0,0.0
South Dakota,SD,res,2016,0.0,0.0
South Dakota,SD,res,2018,0.0,0.0
Tennessee,TN,com,2014,48038.48000000003,611.0000000000001
Tennessee,TN,com,2016,62064.48000000001,778.9999999999999
Tennessee,TN,com,2018,68770.78000000003,867.0000000000002
Tennessee,TN,res,2014,8455.789999999995,763.0000000000003
Tennessee,TN,res,2016,12282.790000000008,1130.9999999999998
Tennessee,TN,res,2018,14822.670000000007,1394.0000000000002
Texas,TX,com,2014,41719.00000000002,881.0000000000007
Texas,TX,com,2016,90056.06100000006,1325.0000000000002
Texas,TX,com,2018,157596.89185168102,1699.9999999999998
Texas,TX,res,2014,43804.00000000004,7436.9999999999945
Texas,TX,res,2016,152278.01631352992,22241.999999999993
Texas,TX,res,2018,321299.7063225311,46505.00000000001
Utah,UT,com,2014,8318.766999999996,105.00000000000003
Utah,UT,com,2016,61206.45964069259,476.99999999999966
Utah,UT,com,2018,87566.60642230179,883.0000000000007
Utah,UT,res,2014,9273.099999999995,1589.9999999999995
Utah,UT,res,2016,104305.77816091992,14842.000000000002
Utah,UT,res,2018,225130.621494253,32112.999999999964
Vermont,VT,com,2014,47228.310000000005,429.0
Vermont,VT,com,2016,90391.94499999999,627.0
Vermont,VT,com,2018,148537.525,924.0
Vermont,VT,res,2014,18751.946,2831.0
Vermont,VT,res,2016,44754.999999999985,5808.000000000003
Vermont,VT,res,2018,65213.01000000003,8426.000000000004
Virginia,VA,com,2014,6270.000000000005,44.999999999999986
Virginia,VA,com,2016,15083.999999999998,163.00000000000006
Virginia,VA,com,2018,26562.5988505747,339.00000000000006
Virginia,VA,res,2014,3686.9999999999986,684.0
Virginia,VA,res,2016,14607.0,2361.0000000000005
Virginia,VA,res,2018,40643.383218390765,5550.999999999995
Washington,WA,com,2014,9150.000000000002,294.0
Washington,WA,com,2016,15389.999999999996,460.99999999999955
Washington,WA,com,2018,65936.15899999997,5533.9999999999945
Washington,WA,res,2014,29497.199999999997,5384.000000000002
Washington,WA,res,2016,75327.20000000001,11491.000000000002
Washington,WA,res,2018,124213.04090804596,17025.999999999996
West Virginia,WV,com,2014,0.0,0.0
West Virginia,WV,com,2016,0.0,0.0
West Virginia,WV,com,2018,0.0,0.0
West Virginia,WV,res,2014,0.0,0.0
West Virginia,WV,res,2016,0.0,0.0
West Virginia,WV,res,2018,0.0,0.0
